ID,cluster_id
uGI8F9Er0c5XwdnX,0
Dqt2gc3V5RJqmLE5,0
eqF93vAKYa4aOeHr,0
SEYEZ7fwp3MbYkkB,0
sQjpjiUTThaMf4j6,0
Zer3bZ5I7YFGoqS6,0
xD0EIkxQ5xUJIjuV,0
vIO1Vk2ZKi0Yn0Sz,0
0mbbbshnl0XReeqC,0
8kn3TLDy8Pzkhxre,0
ATePrG4XYYSk9SqP,0
nRvxGECsX83w3iAn,0
ik2J2jh39lYRPIih,0
WDbUz3HEvBWEdEfO,0
y4cX8NR9p3eQRAcH,0
Z2mR1OD41ELWIjS3,0
tcWjg7hB7HjofnFN,0
8K3R5VHfGgPa9cZR,0
243Efrgr29lBU5si,0
m2hBfXjaPMNj7JAQ,0
H6MlB7cGEGI4lZ6J,0
ewYlEIEmas0JBluR,0
BU7IrN4RM2C3UZC0,0
UUMGGElAnTqRKlfO,0
huKYbaDS0hn3iQSa,0
zF6Y0Q8CW0z7x0EU,0
v2PiLBtv4u7leFxd,0
5fg6hZ3GqQbzwqGI,0
rmAMD7qwDT9Hnue7,0
R3i1amI9QDkg6ihX,0
0ZvGzksVcRwCqqvb,0
gg5hfS9d6SHxZS3e,0
tlIG4kS1IsC4cvjc,0
7G2Eyw9CxUwwivGA,0
RAalP94Vy9npUxzr,0
ChtGx4491s5eJoNw,0
Jrm3V9E0DcaSAlZF,0
i5MI0a58XRPBHAx3,0
cSHBo8ZEYXywLZV6,0
6Q9xqqBd0In0I4xS,0
eEMNnCTYJgaPRPW6,0
lX9s1LYu4gomLBB0,0
trQe5eMPRmws6XCS,0
vPp8Ebgi7VUqkQsQ,0
aI94QnYrXA1qRrZi,0
W84Lw7FYVOL8tFrx,0
f8QIolG5Xe3f2ZYp,0
VbZcY4RkcIKyFzVc,0
P9tEpZZRztDeSdkC,0
9wdssHO7eGmXOlWg,0
G8Lbj4koER0KdcT0,0
2ozi1Own8zA4ADUC,0
7AjOpUt60TfQMKRy,0
fsGQONvf08WpRtoZ,0
EnSU1hjHkeOgYelz,0
CoUUBxj5EfFlDl03,0
maPDcMdzp57pydiF,0
Yid6ZCdtNOBegRdJ,0
BayKI3G7iytIBi9V,0
J3ZY5fFgDuk7sker,0
aqTw9otCG3kCDQiu,0
nHG8uqzC6WToOtUF,0
dp8N7j310savSZht,0
VC4fyNsDO9j3kOZ7,0
3NyZ0vCSVx2mWPFY,0
4djkWNdRfrCQBFMC,0
C0BJGnJUYzHLYHjw,0
AMQB9QlyeAJq0wvk,0
jlLJjhbNXmxOWjt5,0
JesQeqgmULF8vwiQ,0
ejDLHm5h4lWWqiJR,0
UL8ikhp4e6Ec55fN,0
3Q3jk3jlXTdAttUX,0
Np9cR4uy6Y8hyqIU,0
OkjmIPbenQC9clb2,0
ztxc2RjJlYUpgpqi,0
ggux4tiyX0W3iPRj,0
bomhHnAf3YeSmp0P,0
mUep3DpDetxco8e1,0
sb6H0XxGZGCFcs5P,0
bCnqDIE4YWoUwthr,0
HvLmggaMTeLY1m5K,0
rLcW2ctSM1dpERkM,0
FUQEsJR1UFDadEJJ,0
t69q7vZgYrY7nBFW,0
fotfkvVpPZH1S75X,0
yEPSBtKigueT63YI,0
crGEocrxhLquvVGA,0
ZAySEi2vlgtwlTB4,0
fZyQb4BQmKk9oeH7,0
HthoIQphlDBcFIXp,0
KuxK31gOkAHfocFH,0
wFDxzNUskXMHtZea,0
IpxyMLLEWhlwjXc1,0
