text_contrast,paper_color_variance,tears_and_holes,texture_degradation,stains,condition_score,success,ID,split
59.321435006435586,37.77601895190389,60.0,8.724487149124291,37.683772778636616,47.95853203540933,True,pIQHhKd6hgW82r06,train
54.7146800986909,41.28474456454412,60.0,10.028014012610353,43.3618960177325,47.746077950484924,True,H66Ktb4aKQtyv2W3,train
67.57537586956481,10.17386020179424,65.4359203974079,3.976040232914703,30.248824781194124,45.467620195469394,True,XRRpqOq44BAzgcwg,train
54.75692606174324,35.79603582768159,54.269074205091925,11.359855488711387,37.52724598814624,44.780109986105195,True,RkBY1IMdbNG2B9Rd,train
57.16846553468918,12.865125060340617,74.28733750273024,4.772439303410965,30.945813193756514,44.725647574608644,True,81vwmkBCNMjr31PO,test
59.64261039047142,28.200570471779756,60.0,8.009982133842225,18.716390070987888,44.18766495150396,True,ALAqbhdftzbf4NRm,train
51.72038586123948,34.86478788420412,60.0,11.758472569552506,28.74166620998107,44.12510650622801,True,hHuNzJKSCrPbVNwk,train
65.52455584042463,14.563078646828004,60.0,6.227963512493195,19.724757510376435,43.44148237580118,True,DY1VIAVi8Malugvm,train
63.96630863078,11.096105513258532,64.08314330400316,5.24704226991985,22.046737573478307,43.35759293376532,True,kcOVsxdSTK9JaBV1,train
60.78815994425322,12.452886511328142,61.23671485936513,4.391217440467976,38.333435449091496,43.34807728655148,True,N4zbOHsgUSwRJXv4,train
60.820400821542684,13.155183432275017,65.53776931729688,6.064370928956646,24.143561052002458,43.32341250141508,True,Td1i9ewd7Pgn4q12,train
52.63250066383431,34.05260293955559,60.0,11.157714089941486,18.614446114807386,43.20911184072801,True,B5KC2V5tJ1WS4yLF,train
57.31386196490811,15.76647986510681,69.32768426462643,9.264211925839792,17.29387970661232,43.200877890141015,True,od0SyFJbeRKryFcf,train
53.91423604215203,22.352391447304846,60.0,10.132739453468742,36.79223266555081,43.03295811611614,True,AzdQ1Y6mb7KIdw8f,train
65.46154317286309,10.57805650699088,60.0,5.68339981709494,21.858529085953478,42.7813443022051,True,0Tp3uhMFGX4XJgA4,train
50.09359733846408,24.70452539450523,60.0,10.593919547159016,42.228712359300765,42.75592733800945,True,YWyEgdzAuVBbksLk,test
46.133140064047495,36.28654307996128,60.0,13.065340912213745,26.50726586127791,42.36116831575804,True,TmR8M3EyTpvkNsAe,test
57.57988508836458,30.21561151206036,48.8421867375612,10.066861424989092,28.727062968672513,42.28602120709613,True,WH1seRr5kdj4sHtm,test
60.38540770137542,18.236697664744767,60.0,7.519805774483582,17.162142970587404,42.25042710293745,True,au6o6wuP8GHi2n6q,train
50.86328059313878,25.570030637599473,61.052518283114956,10.801884549502876,23.83167541835116,41.64263990268261,True,OqihiGiBwGw9MEXd,train
57.86174479058016,17.596843863313882,60.0,9.297920681892325,19.28639779904846,41.6294112974599,True,DcZFPjycVkDuEUGM,test
55.338116534889565,38.01115572974585,45.207962626040484,11.390511073685976,20.428897544729008,41.45450345151213,True,5TTXn3gECMavptc6,train
56.402461218362646,15.20596686657649,60.0,7.269683014715918,29.422552556383273,41.45127835685215,True,puiTYVFR8BZlYZwv,train
58.08354025641137,15.922829414585864,60.0,8.811257808749666,19.354134797112817,41.330344233247395,True,x1ARAf3AAJL5tcKp,train
53.56468897184432,15.747643844711389,60.0,9.16092440939713,33.360413769065175,41.149303726934015,True,qabXtpX1I6B7yBGt,train
52.63196959970879,55.77467629473521,24.338209823986634,9.542016703995714,43.898549311186336,41.004733676359976,True,Ox1UmDPioFzAcres,test
56.615823572727265,13.08337707469275,60.0,5.991016992737858,29.684698268745002,40.99978519154138,True,lpRvSSp87iW3FEOP,test
49.76610783936452,19.56071408932642,60.0,9.773974542476406,35.63630579478093,40.8713085953686,True,pxVJjooKINRwegSh,test
50.308054416931014,26.620492968476565,60.0,13.063749875185417,15.020854281079835,40.74037805524769,True,WaK6yyeR7xNkN4mk,train
54.873948611905504,17.930449804361114,60.0,10.051438412867364,18.77361703089495,40.67447751941538,True,FaZXVwKpNADcg50S,train
54.42895120902098,16.743612081008315,60.0,9.484677607492827,22.09378195231279,40.556701295339565,True,E1ZA3zeU4p6II2Bv,train
48.51935886844933,21.245941700317786,60.0,10.537035500491768,29.895528689682962,40.274220363038296,True,xHncAJqR6Gn3BX7W,train
