dark_patches,contrast,noise,ink_fade,blur,skew,difficulty_score,success,ID,split
35.01308291232464,0.0,16.908669906089923,52.59096365468041,91.59058590235902,10.0,56.88729324004868,True,W8wdFrxaW9VMnV3p,train
27.111438602881684,0.0,17.26715788569262,52.83888264403898,91.56424884894852,10.0,55.013922304829535,True,lI7LJVeZlTjPYXoQ,train
29.319130516254297,0.0,20.09309565216473,47.484476430159084,88.68040213755104,9.999923706054688,54.77465855510039,True,9d3AQIGYHQyCQTYs,train
22.463821063246733,0.0,17.04154678083686,59.656663800243585,92.02776343548966,0.0,54.704908214760415,True,qpbdzpSeKg3c0B2K,train
14.427532908015966,0.0,15.544273396818454,62.0442061181959,93.06853466660539,0.0,53.00079219349621,True,4qF3zwG4TSmNQXT2,train
16.30311322980414,0.0,8.858736317716637,63.58011378621967,97.3383768626436,0.0,52.987530355484644,True,bOI6uZuHCjnvFGsW,train
37.03784268835888,100.0,99.49048411972166,41.92191706507951,0.0,0.0,32.56741670306387,True,eNeHAUkUmpMXWl1l,train
47.04886620457606,100.0,100.0,26.527303125375283,0.0,4.999961853027344,32.31767526887044,True,PiLIRZm3itST5H6i,train
37.21328661014119,100.0,11.97729703146235,79.98890509777807,95.27702057158763,0.0,31.861548255389646,True,79tMUVyfIdy3GzkG,train
46.500304584141944,100.0,87.53364408629517,29.416295515770884,0.0,20.000076293945312,31.638385676831202,True,cBwSeId75e7EcsAl,train
41.498006048944745,100.0,93.50592596244947,32.54106568524281,0.0,5.0,31.15860354365217,True,aptc88H5YsQICiKF,train
36.28507820337548,100.0,97.63645413335892,36.67793163938268,0.0,0.0,31.05232399872424,True,JOeej3h27a9peXXY,train
44.01925411109535,100.0,98.64302964253403,24.570819897635445,0.0,5.0,30.96543195368103,True,kjcw3052hnxzp27U,train
41.3711908353041,100.0,77.830431313055,42.08802611222497,0.0,9.999923706054688,30.934963813532008,True,fNmdSy5qBOKhjyZF,train
37.2839423800379,100.0,100.0,31.729047431270047,0.0,5.0,30.916795081263484,True,WpIvFoB9JbSegK5i,train
37.83749343797854,100.0,91.09379316873807,36.226484635958826,0.0,10.0,30.868739261997113,True,mjt21n9iMJnLwriU,train
39.78589381374606,100.0,100.0,26.46771019637984,0.0,9.999923706054688,30.740011678015218,True,hSFPDAAww1IBHWvh,train
43.653917566373714,100.0,99.49961426930099,22.88105958553858,0.0,4.999961853027344,30.66463154174766,True,ejDLHm5h4lWWqiJR,train
